scene,floor,question,choices,question_formatted,answer,label
00060-TgWKHxhJAng,0,I need to retrieve my guitar for practice - they are on the wall. Which room should I go to?,"['The room with the empty wall', 'The room with the computer desk', 'The room with the red walls', 'The room with the pool table']",I need to retrieve my guitar for practice - they are on the wall. Which room should I go to? A) The room with the empty wall B) The room with the computer desk C) The room with the red walls D) The room with the pool table. Answer:,B,existence
00060-TgWKHxhJAng,0,I played pool with friends last night. Is the pool table cleaned up?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",I played pool with friends last night. Is the pool table cleaned up? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,existence
00060-TgWKHxhJAng,1,What time is it now?,"['9-11am', '2-4pm', '5-7pm', '9-11pm']",What time is it now? A) 9-11am B) 2-4pm C) 5-7pm D) 9-11pm. Answer:,B,location
00060-TgWKHxhJAng,1,Which rug is there at the entrance door?,"['Black', 'Red', 'Gray', 'White']",Which rug is there at the entrance door? A) Black B) Red C) Gray D) White. Answer:,B,location
00060-TgWKHxhJAng,2,Did I leave the window in the home office open or closed?,"['Open', '(Do not choose this option)', 'Closed', '(Do not choose this option)']",Did I leave the window in the home office open or closed? A) Open B) (Do not choose this option) C) Closed D) (Do not choose this option). Answer:,C,state
00060-TgWKHxhJAng,2,Did I leave the laptop under the TV in the bedroom?,"['Yes', '(Do not choose this option)', '(Do not choose this option)', 'No']",Did I leave the laptop under the TV in the bedroom? A) Yes B) (Do not choose this option) C) (Do not choose this option) D) No. Answer:,D,location
00062-ACZZiU6BXLz,0,I'm trying to remember where I placed the wall clock. Where it is in the kitchen?,"['Above the sink', 'Next to the refrigerator', 'Near the stove', 'On the wall opposite the windows']",I'm trying to remember where I placed the wall clock. Where it is in the kitchen? A) Above the sink B) Next to the refrigerator C) Near the stove D) On the wall opposite the windows. Answer:,A,location
00062-ACZZiU6BXLz,0,I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table?,"['Four', 'Six', 'Eight', 'Ten']",I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table? A) Four B) Six C) Eight D) Ten. Answer:,B,existence
00062-ACZZiU6BXLz,0,Have I already put the fruit bowl on the kitchen counter?,"['No', 'There is some fruit but in a bowl', 'Yes', 'There is a bowl but no fruit']",Have I already put the fruit bowl on the kitchen counter? A) No B) There is some fruit but in a bowl C) Yes D) There is a bowl but no fruit. Answer:,A,existence
00062-ACZZiU6BXLz,1,I need to find my painting of the ocean. Where is it?,"['Master bedroom', 'Bathroom', 'Hallway', 'Guest bedroom']",I need to find my painting of the ocean. Where is it? A) Master bedroom B) Bathroom C) Hallway D) Guest bedroom. Answer:,D,count
00062-ACZZiU6BXLz,1,How many pillows did I leave on the bed with green floral bedding?,"['Three', 'One', 'None', 'Two']",How many pillows did I leave on the bed with green floral bedding? A) Three B) One C) None D) Two. Answer:,B,state
00066-nHHVbEyHX3t,0,I need to put out a fire. Where is the fire extinguisher again?,"['Next to sofa', 'In the hallway', 'Next to bed', 'Next to door to patio']",I need to put out a fire. Where is the fire extinguisher again? A) Next to sofa B) In the hallway C) Next to bed D) Next to door to patio. Answer:,D,identification
00069-Y8Y6ukxGMvn,0,Does the coffee table have any decorative items on it?,"['No, it is completely clear.', 'Yes, there are cooking utensils.', 'Yes, there is a vase.', 'Yes, there is a fruit bowl.']","Does the coffee table have any decorative items on it? A) No, it is completely clear. B) Yes, there are cooking utensils. C) Yes, there is a vase. D) Yes, there is a fruit bowl.. Answer:",C,state
00069-Y8Y6ukxGMvn,0,Is there a floor-standing mirror in the bedroom?,"['(Do not choose this option)', 'Yes, near the bed.', 'Yes, near the door.', ""No, there isn't one.""]","Is there a floor-standing mirror in the bedroom? A) (Do not choose this option) B) Yes, near the bed. C) Yes, near the door. D) No, there isn't one.. Answer:",B,state
00070-w7QyjJ3H9Bp,0,I can't remember where I left a green cooking pot. Is it in the kitchen?,"['On the stove', 'Next to the sink', ""It's not there"", 'On the counter']",I can't remember where I left a green cooking pot. Is it in the kitchen? A) On the stove B) Next to the sink C) It's not there D) On the counter. Answer:,C,location
00070-w7QyjJ3H9Bp,1,I need to retrieve a book from the shelf. Which room has the large bookshelf?,"['The room with the white curtains', 'The room with the yellow curtains', 'The room with the blue curtains', 'The room with the red curtains']",I need to retrieve a book from the shelf. Which room has the large bookshelf? A) The room with the white curtains B) The room with the yellow curtains C) The room with the blue curtains D) The room with the red curtains. Answer:,C,location
00072-t8wCA6Qe8uT,1,I'm trying to remember where I placed the fruit bowl. Where is it in the living room?,"['On the dining table', 'On the side table by the sofa', 'On the coffee table', 'On the shelf next to the TV']",I'm trying to remember where I placed the fruit bowl. Where is it in the living room? A) On the dining table B) On the side table by the sofa C) On the coffee table D) On the shelf next to the TV. Answer:,A,location
00072-t8wCA6Qe8uT,1,I recently moved the silver trash can. Do you see it anywhere?,"['In the bedroom', 'By the entrance door', 'In the living room', 'By the kitchen']",I recently moved the silver trash can. Do you see it anywhere? A) In the bedroom B) By the entrance door C) In the living room D) By the kitchen. Answer:,D,location
00074-kHvNo8x6Qoe,1,Did I leave my backpack on the table at the porch?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Did I leave my backpack on the table at the porch? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,state
00074-kHvNo8x6Qoe,1,I'm expecting guests and I need extra seating. How many stools are available at the kitchen island?,"['One', 'Two', 'None', 'Three']",I'm expecting guests and I need extra seating. How many stools are available at the kitchen island? A) One B) Two C) None D) Three. Answer:,C,state
00081-5biL7VEkByM,0,Did the housekeeper clear the bookshelves already?,"['Yes, they are clear', 'No, they are still full of books', 'Yes, but there are a few books left', '(Do not choose this option)']","Did the housekeeper clear the bookshelves already? A) Yes, they are clear B) No, they are still full of books C) Yes, but there are a few books left D) (Do not choose this option). Answer:",A,state
00081-5biL7VEkByM,0,Did any book fall onto the floor in the hallway where the bookselves are?,"['(Do not choose this option)', '(Do not choose this option)', 'No, there is none on the floor', 'Yes, there are a few on the floor']","Did any book fall onto the floor in the hallway where the bookselves are? A) (Do not choose this option) B) (Do not choose this option) C) No, there is none on the floor D) Yes, there are a few on the floor. Answer:",C,location
00084-CtZLhCbWFm7,0,Is the air conditioning in the living room turned off?,"['Yes, it is off', '(Do not choose this option)', 'No, it is still on', '(Do not choose this option)']","Is the air conditioning in the living room turned off? A) Yes, it is off B) (Do not choose this option) C) No, it is still on D) (Do not choose this option). Answer:",C,count
00086-315QujoX279,0,I am looking for the fruit-themed towels. Where are them?,"['In the bathroom', 'In the kitchen', 'On the sofa', 'On the armchair']",I am looking for the fruit-themed towels. Where are them? A) In the bathroom B) In the kitchen C) On the sofa D) On the armchair. Answer:,B,existence
00086-315QujoX279,0,Did I leave the air conditioning in the living room on?,"['No, it is off', '(Do not choose this option)', 'Yes, it is on', '(Do not choose this option)']","Did I leave the air conditioning in the living room on? A) No, it is off B) (Do not choose this option) C) Yes, it is on D) (Do not choose this option). Answer:",A,location
00090-C8VQQtzUoqV,0,I'm trying to remember where I placed my floor lamp with the multiple light fixtures.,"['Near the bookshelf', 'In the corner by the window', 'Next to the sofa', 'By the main entrance']",I'm trying to remember where I placed my floor lamp with the multiple light fixtures. A) Near the bookshelf B) In the corner by the window C) Next to the sofa D) By the main entrance. Answer:,B,location
00090-C8VQQtzUoqV,0,I'm looking for my red and white checkered blanket. Can you see where it is?,"['Draped over the sofa', 'Laid out on the floor', 'On the bookshelf', 'On the table with the yellow cloth']",I'm looking for my red and white checkered blanket. Can you see where it is? A) Draped over the sofa B) Laid out on the floor C) On the bookshelf D) On the table with the yellow cloth. Answer:,B,existence
00094-WT4QWwXrMzs,0,Is the ironing board set up in the room with the sectional sofa?,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Is the ironing board set up in the room with the sectional sofa? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,B,existence
00094-WT4QWwXrMzs,0,Is the gaming chair under the loft bed?,"['Yes', '(Do not choose this option)', '(Do not choose this option)', 'No']",Is the gaming chair under the loft bed? A) Yes B) (Do not choose this option) C) (Do not choose this option) D) No. Answer:,A,existence
00094-WT4QWwXrMzs,1,What is left in the basket that is under the TV?,"['Watter bottles', 'Blankets', 'Nothing', 'Fruits']",What is left in the basket that is under the TV? A) Watter bottles B) Blankets C) Nothing D) Fruits. Answer:,B,location
00094-WT4QWwXrMzs,1,Which rug is there next to the refrigerator?,"['Purple', 'Black', 'Gray', 'Blue']",Which rug is there next to the refrigerator? A) Purple B) Black C) Gray D) Blue. Answer:,C,location
00094-WT4QWwXrMzs,2,I need to find my white storage ottoman. Where is it?,"['At the end of the hallway', 'Near the bedroom chairs', 'Inside the kitchen', 'Next to the living room window']",I need to find my white storage ottoman. Where is it? A) At the end of the hallway B) Near the bedroom chairs C) Inside the kitchen D) Next to the living room window. Answer:,B,location
00094-WT4QWwXrMzs,2,Is there any clothing to be cleaned up from the floor in the bedroom?,"['Yes, there is a pair of jeans', 'No, the floor is clean', 'Yes, there is a pair of pants', 'Yes, there are some socks']","Is there any clothing to be cleaned up from the floor in the bedroom? A) Yes, there is a pair of jeans B) No, the floor is clean C) Yes, there is a pair of pants D) Yes, there are some socks. Answer:",B,existence
00100-y3K5dmhuukt,1,I'm looking for my black and white sneakers. Where are the sneaker boxes?,"['Next to the bed', 'At the bottom of wardrobe', 'In the corner of bedroom', 'At the top of wardrobe']",I'm looking for my black and white sneakers. Where are the sneaker boxes? A) Next to the bed B) At the bottom of wardrobe C) In the corner of bedroom D) At the top of wardrobe. Answer:,B,count
00100-y3K5dmhuukt,1,Does the bathtub need to be cleaned?,"['No, it looks very clean', '(Do not choose this option)', '(Do not choose this option)', 'Yes, it looks very stained']","Does the bathtub need to be cleaned? A) No, it looks very clean B) (Do not choose this option) C) (Do not choose this option) D) Yes, it looks very stained. Answer:",A,state
00106-ZVScmfktNQ1,0,Where did I put the pink toddler chair in the child's room?,"['Next to the blue cabinet', 'Next to the bed', 'Next to the window', 'Next to the black cabinet']",Where did I put the pink toddler chair in the child's room? A) Next to the blue cabinet B) Next to the bed C) Next to the window D) Next to the black cabinet. Answer:,A,state
00106-ZVScmfktNQ1,0,Is the door to the closet next to the kitchen left open?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is the door to the closet next to the kitchen left open? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,B,location
00109-GTV2Y73Sn5t,0,I need to water the plants. How many potted plants are on the kitchen island?,"['Four', 'Two', 'Three', 'One']",I need to water the plants. How many potted plants are on the kitchen island? A) Four B) Two C) Three D) One. Answer:,D,location
00109-GTV2Y73Sn5t,0,I'm expecting a package that should have been left by the door. Is there a parcel on the bench by the entrance?,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",I'm expecting a package that should have been left by the door. Is there a parcel on the bench by the entrance? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,B,location
00109-GTV2Y73Sn5t,1,I need to find my backpack for a trip. Where did I place it?,"['In the bedroom with the futon', 'In the bedroom with the wooden bed', 'In the office with the large desk', 'Near the upstairs railing']",I need to find my backpack for a trip. Where did I place it? A) In the bedroom with the futon B) In the bedroom with the wooden bed C) In the office with the large desk D) Near the upstairs railing. Answer:,A,existence
00109-GTV2Y73Sn5t,1,Is my son sleeping on his red bed?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Is my son sleeping on his red bed? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,D,existence
00127-EN7GiDgxdQ2,0,Where did I put a stacks of books?,"['On the sofa', 'On the coffee table', 'Next to TV', 'Next to the armchair']",Where did I put a stacks of books? A) On the sofa B) On the coffee table C) Next to TV D) Next to the armchair. Answer:,D,identification
00130-MjzBosUX3WW,0,Are the mirror lights in the bathroom on?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",Are the mirror lights in the bathroom on? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,C,location
00135-HeSYRw7eMtG,1,What time is it now?,"['1-3pm', '7-9am', '10-12pm', '5-7pm']",What time is it now? A) 1-3pm B) 7-9am C) 10-12pm D) 5-7pm. Answer:,A,existence
00135-HeSYRw7eMtG,1,I forgot where I left the standing fan.,"['Next to the armchair', 'Next to kitchen', 'In the bathroom', 'In the bedroom']",I forgot where I left the standing fan. A) Next to the armchair B) Next to kitchen C) In the bathroom D) In the bedroom. Answer:,A,location
00135-HeSYRw7eMtG,2,How many table lamps are there in the bedroom?,"['Three', 'Four', 'One', 'Two']",How many table lamps are there in the bedroom? A) Three B) Four C) One D) Two. Answer:,D,state
00148-csHQLLFPE3g,0,I need to find the large gray trash can. Where is it now?,"['In the storage room', 'In the bedroom', 'In the living room', 'Near the dining area']",I need to find the large gray trash can. Where is it now? A) In the storage room B) In the bedroom C) In the living room D) Near the dining area. Answer:,A,location
00148-csHQLLFPE3g,0,How many sets of utensils are already set up on the dining table?,"['Two', 'Six', 'None', 'Four']",How many sets of utensils are already set up on the dining table? A) Two B) Six C) None D) Four. Answer:,C,count
00149-UuwwmrTsfBN,1,I am waiting for the guests. Have I put utensils on the dining table?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",I am waiting for the guests. Have I put utensils on the dining table? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,existence
00149-UuwwmrTsfBN,1,Is the patio door next to the dining table open?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Is the patio door next to the dining table open? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,D,location
00151-D8bT1ambLFc,0,I need to retrieve my exercise ball. Where did I leave it last?,"['In the bedroom', 'In the kitchen', 'In the living room', 'In the home office area']",I need to retrieve my exercise ball. Where did I leave it last? A) In the bedroom B) In the kitchen C) In the living room D) In the home office area. Answer:,D,location
00151-D8bT1ambLFc,0,I am trying to find my white suitcase.,"['It is on the bedroom floor', 'It is in the bedroom storage', 'It is next to TV', 'It is in the hallway']",I am trying to find my white suitcase. A) It is on the bedroom floor B) It is in the bedroom storage C) It is next to TV D) It is in the hallway. Answer:,B,state
00154-2dZ1Jivh5if,0,How many bar stools are placed at the kitchen counter?,"['Two', 'None', 'Three', 'Four']",How many bar stools are placed at the kitchen counter? A) Two B) None C) Three D) Four. Answer:,A,state
00154-2dZ1Jivh5if,0,Do you see the small red stool anywhere?,"['It is next to the bookcase', 'It is at the corner of kitchen', 'It is in the bedroom', 'It is in the bathroom']",Do you see the small red stool anywhere? A) It is next to the bookcase B) It is at the corner of kitchen C) It is in the bedroom D) It is in the bathroom. Answer:,A,location
00155-iLDo95ZbDJq,0,"Is the bedroom closet open or closed, the bedroom with horse painting?","['It is closed', 'It is open', '(Do not choose this option)', '(Do not choose this option)']","Is the bedroom closet open or closed, the bedroom with horse painting? A) It is closed B) It is open C) (Do not choose this option) D) (Do not choose this option). Answer:",A,count
00158-YV9M9gZG3YJ,0,I'm trying to remember where I placed the plush giraffe toy. Where is it?,"['On the hallway console', ""On the shelf in the child's room"", 'On the bed in one of the bedrooms', 'On the bathroom counter']",I'm trying to remember where I placed the plush giraffe toy. Where is it? A) On the hallway console B) On the shelf in the child's room C) On the bed in one of the bedrooms D) On the bathroom counter. Answer:,C,location
00158-YV9M9gZG3YJ,0,"Did I turn off the bed lamps in the main bedroom, the one with red pillows?","['They are on', '(Do not choose this option)', '(Do not choose this option)', 'They are off']","Did I turn off the bed lamps in the main bedroom, the one with red pillows? A) They are on B) (Do not choose this option) C) (Do not choose this option) D) They are off. Answer:",D,existence
00159-DfUQLukPMPc,0,I'm trying to remember where I placed the table tennis paddles. Are they on or near the ping pong table?,"['They are not visible near the ping pong table', 'Under the ping pong table', 'Next to the ping pong table on the floor', 'On the ping pong table']",I'm trying to remember where I placed the table tennis paddles. Are they on or near the ping pong table? A) They are not visible near the ping pong table B) Under the ping pong table C) Next to the ping pong table on the floor D) On the ping pong table. Answer:,D,location
00159-DfUQLukPMPc,0,How many bar stools we have in the basement?,"['Two', 'Three', 'One', 'Four']",How many bar stools we have in the basement? A) Two B) Three C) One D) Four. Answer:,A,location
00161-uFCiZVVks57,0,I'm trying to remember how many plates I put on the dining table.,"['Four', 'Eight', 'Twelve', 'None']",I'm trying to remember how many plates I put on the dining table. A) Four B) Eight C) Twelve D) None. Answer:,B,count
00161-uFCiZVVks57,0,I need to find the orange chair. Where is it?,"['In the bedroom with the patterned wallpaper', 'In the hallway', 'In the dining area', 'In the bedroom with the fireplace']",I need to find the orange chair. Where is it? A) In the bedroom with the patterned wallpaper B) In the hallway C) In the dining area D) In the bedroom with the fireplace. Answer:,D,location
00166-RaYrxWt5pR1,0,I'm trying to remember how many bar stools are at the kitchen island.,"['Three', 'Five', 'Four', 'Two']",I'm trying to remember how many bar stools are at the kitchen island. A) Three B) Five C) Four D) Two. Answer:,D,state
